学号_统一,拓展_竞赛参与总次数,拓展_竞赛综合权重得分
pjvyzvfj974,1,3.0
pjvyzvfj977,1,3.0
pjvyzxbj997,1,0.5
pjwrqxbj882,2,6.0
pjwrqxbj884,3,6.5
pjwrqxbj890,4,7.0
pjwrqxbj911,2,6.0
pjwrqxbj916,4,11.0
pjwrqxbj923,2,6.0
pjwrqxbj925,3,6.5
pjwrqxbj938,2,6.0
pjwrqxbj944,2,6.0
pjwrqxbj951,9,22.0
pjwrqxbj965,2,6.0
pjwrqxbj967,5,10.0
pjwrqxbj979,9,33.0
pjwrqxbj983,1,3.0
pjwrqxbj988,1,0.5
pjwrqxbj991,6,15.5
pjwrqxbj993,8,16.5
pjwtqxbj921,1,3.0
pjwtqxbj922,1,3.0
pjwtqxbj925,5,12.0
pjwtqxbj929,5,15.0
pjwtqxbj931,2,1.0
pjwtqxbj933,3,6.5
pjwtqxbj935,4,9.5
pjwtqxbj941,1,3.0
pjwtqxbj944,2,3.5
pjwtqxbj953,5,10.0
pjwtqxbj954,1,0.5
pjwtqxbj957,1,3.0
pjwtqxbj965,3,9.0
pjwtqxbj967,4,13.5
pjwtqxbj974,6,15.5
pjwtqxbj979,2,1.0
pjwtqxbj983,2,6.0
pjwtqxbj984,1,0.5
pjwtqxbj985,2,6.0
pjwtqxbj987,1,3.0
pjwtqxbj993,3,4.0
pjwtqxbj998,4,12.0
pjwuzxbj992,2,3.5
pjxpqxbj912,1,5.0
pjxpqxbj916,2,8.0
pjxpqxbj956,2,8.0
pjxpqxbj963,3,11.0
pjxpqxbj967,2,1.0
pjxpqxbj975,1,3.0
pjxpqxbj978,1,3.0
pjxpqxbj992,1,3.0
pjxqqxbj961,1,3.0
pjxqqxbj964,6,18.0
pjxqqxbj969,1,3.0
pjxqqxbj974,1,3.0
pjxqqxbj985,1,3.0
pjxqqxbj991,2,6.0
pjxqzxbj994,6,18.0
pjxrqxbj891,5,12.5
pjxrqxbj898,2,10.0
pjxrqxbj901,2,3.5
pjxrqxbj903,2,6.0
pjxrqxbj905,1,3.0
pjxrqxbj908,6,17.5
pjxrqxbj918,4,9.5
pjxrqxbj919,1,0.5
pjxrqxbj930,5,12.5
pjxrqxbj937,2,1.0
pjxrqxbj939,1,3.0
pjxrqxbj942,1,3.0
pjxrqxbj943,2,3.5
pjxrqxbj951,1,3.0
pjxrqxbj952,1,3.0
pjxrqxbj954,2,6.0
pjxrqxbj955,1,0.5
pjxrqxbj957,3,4.0
pjxrqxbj961,4,9.5
pjxrqxbj962,1,3.0
pjxrqxbj973,1,3.0
pjxrqxbj983,3,9.0
pjxrqxbj988,1,3.0
pjxrqxbj990,4,14.0
pjxrqxbj992,1,0.5
pjxrqxbj994,2,3.5
pjxrqxbj996,4,11.5
pjxsqxbj778,2,6.0
pjxsqxbj790,1,0.5
pjxsqxbj808,6,18.0
pjxsqxbj811,3,9.0
pjxsqxbj815,4,9.5
pjxsqxbj816,1,0.5
pjxsqxbj823,1,3.0
pjxsqxbj824,1,3.0
pjxsqxbj827,1,3.0
pjxsqxbj834,1,3.0
pjxsqxbj851,6,15.5
pjxsqxbj867,1,0.5
pjxsqxbj871,2,6.0
pjxsqxbj872,1,3.0
pjxsqxbj876,1,3.0
pjxsqxbj884,3,9.0
pjxsqxbj887,6,18.0
pjxsqxbj892,1,3.0
pjxsqxbj893,14,41.5
pjxsqxbj894,3,9.0
pjxsqxbj897,4,14.0
pjxsqxbj899,6,20.0
pjxsqxbj900,1,3.0
pjxsqxbj904,4,9.5
pjxsqxbj906,1,3.0
pjxsqxbj909,2,3.5
pjxsqxbj912,6,18.0
pjxsqxbj918,5,18.5
pjxsqxbj920,1,3.0
pjxsqxbj932,5,12.5
pjxsqxbj934,4,7.0
pjxsqxbj936,4,9.5
pjxsqxbj944,1,3.0
pjxsqxbj949,1,3.0
pjxsqxbj954,3,6.5
pjxsqxbj968,1,0.5
pjxsqxbj969,7,18.5
pjxsqxbj971,2,3.5
pjxsqxbj981,2,3.5
pjxsqxbj982,2,3.5
pjxsqxbj983,1,3.0
pjxsqxbj984,3,9.0
pjxsqxbj989,1,3.0
pjxsqxbj994,3,6.5
pjxsqxbj996,2,3.5
pjxtztbj989,3,10.5
pjxuqwbj446,1,3.0
pjxuqwbj449,2,6.0
pjxuqwbj454,1,3.0
pjxuqwbj461,3,9.0
pjxuqwbj463,2,8.0
pjxuqwbj470,1,3.0
pjxuqwbj472,2,8.0
pjxuqwbj473,1,3.0
pjxuqwbj474,2,3.5
pjxuqwbj476,1,0.5
pjxuqwbj491,1,3.0
pjxuqwbj492,1,3.0
pjxuqwbj496,6,18.0
pjxuqwbj498,1,3.0
pjxuqwbj499,2,5.5
pjxuqwbj515,3,9.0
pjxuqwbj526,1,3.0
pjxuqwbj536,1,3.0
pjxuqwbj537,1,3.0
pjxuqwbj539,1,3.0
pjxuqwbj545,1,3.0
pjxuqwbj546,1,3.0
pjxuqwbj547,1,3.0
pjxuqwbj552,5,15.0
pjxuqwbj559,1,0.5
pjxuqwbj564,1,3.0
pjxuqwbj565,2,3.5
pjxuqwbj568,1,3.0
pjxuqwbj571,1,3.0
pjxuqwbj572,1,3.0
pjxuqwbj580,3,6.5
pjxuqwbj581,1,3.0
pjxuqwbj583,7,20.5
pjxuqwbj584,4,20.0
pjxuqwbj606,6,13.0
pjxuqwbj615,2,6.0
pjxuqwbj624,4,12.0
pjxuqwbj634,5,14.5
pjxuqwbj642,3,11.0
pjxuqwbj643,1,3.0
pjxuqwbj644,4,9.5
pjxuqwbj647,3,8.5
pjxuqwbj648,2,6.0
pjxuqwbj650,3,6.5
pjxuqwbj661,2,3.5
pjxuqwbj663,2,8.0
pjxuqwbj666,3,9.0
pjxuqwbj673,1,3.0
pjxuqwbj674,12,44.0
pjxuqwbj677,1,3.0
pjxuqwbj678,1,0.5
pjxuqwbj679,2,6.0
pjxuqwbj691,2,3.5
pjxuqwbj694,2,6.0
pjxuqwbj705,1,3.0
pjxuqwbj708,3,6.5
pjxuqwbj714,10,38.0
pjxuqwbj715,1,3.0
pjxuqwbj721,1,3.0
pjxuqwbj723,3,6.5
pjxuqwbj731,11,41.0
pjxuqwbj733,1,3.0
pjxuqwbj735,1,3.0
pjxuqwbj738,14,64.0
pjxuqwbj755,4,9.5
pjxuqwbj761,1,0.5
pjxuqwbj783,1,3.0
pjxuqwbj785,1,3.0
pjxuqwbj788,3,6.5
pjxuqwbj805,10,38.0
pjxuqwbj811,5,19.0
pjxuqwbj818,1,0.5
pjxuqwbj829,3,9.0
pjxuqwbj833,8,32.0
pjxuqwbj838,1,3.0
pjxuqwbj839,3,11.0
pjxuqwbj840,10,38.0
pjxuqwbj848,2,8.0
pjxuqwbj857,2,6.0
pjxuqwbj858,1,3.0
pjxuqwbj870,12,44.0
pjxuqwbj876,4,14.0
pjxuqwbj879,3,9.0
pjxuqwbj892,3,13.0
pjxuqwbj898,2,6.0
pjxuqwbj903,3,6.5
pjxuqwbj904,11,38.5
pjxuqwbj914,1,3.0
pjxuqwbj918,1,3.0
pjxuqwbj927,6,18.0
pjxuqwbj928,1,3.0
pjxuqwbj930,4,12.0
pjxuqwbj944,1,3.0
pjxuqwbj947,1,3.0
pjxuqwbj958,1,3.0
pjxuqwbj986,1,3.0
pjxuqwbj996,1,3.0
pjxuzvbj996,1,3.0
pjxwxxbj914,1,3.0
pjxwxxbj934,1,3.0
pjxwxxbj944,1,3.0
pjxwzxbj985,1,0.5
pjxwzxbj990,1,3.0
pjxwzxbj996,1,3.0
pjxwzxbj997,6,18.0
pjxwzxfj992,2,10.0
pjxwzxkj985,1,3.0
pjxwzxkj989,2,3.5
pjxwzxkj991,1,3.0
pjxwzxkj992,2,6.0
pjxwzxkj993,3,8.5
pjxxxxbj914,1,3.0
pjxxxxbj915,7,20.0
pjxxxxbj917,3,9.0
pjxxxxbj921,3,11.0
pjxxxxbj930,3,6.5
pjxxxxbj933,1,0.5
pjxxxxbj937,1,0.5
pjxxxxbj942,1,0.5
pjxxxxbj943,1,5.0
pjxxxxbj953,1,5.0
pjxxxxbj957,5,14.5
pjxxxxbj958,19,73.0
pjxxxxbj966,2,3.5
pjxxxxbj975,1,3.0
pjxxxxbj980,1,0.5
pjxxxxbj987,3,9.0
pjxxxxbj988,1,3.0
pjxxxxbj995,1,3.0
pjxxxxbj997,1,0.5
pjxxztfj972,1,3.0
pjxxzxkj987,3,6.5
pjxxzxkj990,3,9.0
pjxxzxkj997,1,0.5
pjxyqwbj004,1,3.0
pjxyqwbj006,8,31.5
pjxyqwbj013,1,3.0
pjxyqwbj020,3,6.5
pjxyqwbj036,4,14.0
pjxyqwbj043,2,3.5
pjxyqwbj053,2,6.0
pjxyqwbj054,2,3.5
pjxyqwbj058,3,6.5
pjxyqwbj069,1,3.0
pjxyqwbj072,3,15.0
pjxyqwbj077,1,5.0
pjxyqwbj078,4,20.0
pjxyqwbj084,1,3.0
pjxyqwbj086,4,12.0
pjxyqwbj092,2,6.0
pjxyqwbj095,7,22.5
pjxyqwbj104,1,5.0
pjxyqwbj108,1,3.0
pjxyqwbj109,3,4.0
pjxyqwbj112,1,3.0
pjxyqwbj117,2,3.5
pjxyqwbj125,3,4.0
pjxyqwbj126,3,6.5
pjxyqwbj130,3,6.0
pjxyqwbj153,2,10.0
pjxyqwbj166,1,3.0
pjxyqwbj171,3,6.0
pjxyqwbj205,8,40.0
pjxyqwbj207,1,3.0
pjxyqwbj216,17,79.0
pjxyqwbj219,4,11.5
pjxyqwbj223,4,9.5
pjxyqwbj225,7,23.0
pjxyqwbj232,3,13.0
pjxyqwbj236,7,26.5
pjxyqwbj245,2,6.0
pjxyqwbj248,2,5.5
pjxyqwbj249,3,10.5
pjxyqwbj251,3,1.5
pjxyqwbj252,1,3.0
pjxyqwbj253,6,30.0
pjxyqwbj266,1,3.0
pjxyqwbj274,1,3.0
pjxyqwbj279,1,3.0
pjxyqwbj300,5,10.0
pjxyqwbj309,2,6.0
pjxyqwbj311,4,20.0
pjxyqwbj318,5,21.0
pjxyqwbj326,1,3.0
pjxyqwbj331,2,6.0
pjxyqwbj338,1,3.0
pjxyqwbj358,1,3.0
pjxyqwbj360,1,3.0
pjxyqwbj367,1,3.0
pjxyqwbj368,4,7.0
pjxyqwbj375,1,3.0
pjxyqwbj384,6,17.5
pjxyqwbj394,1,3.0
pjxyqwbj398,4,12.0
pjxyqwbj403,2,3.5
pjxyqwbj407,2,5.5
pjxyqwbj408,1,0.5
pjxyqwbj410,8,34.0
pjxyqwbj417,2,6.0
pjxyqwbj425,1,3.0
pjxyqwbj428,4,7.0
pjxyqwbj431,3,6.5
pjxyqwbj435,4,9.5
pjxyqwbj437,4,12.0
pjxyqwbj441,1,3.0
pjxyqwbj453,2,8.0
pjxyqwbj455,1,3.0
pjxyqwbj469,1,3.0
pjxyqwbj478,2,3.5
pjxyqwbj479,1,0.5
pjxyqwbj486,2,6.0
pjxyqwbj487,1,3.0
pjxyqwbj515,2,6.0
pjxyqwbj518,6,15.0
pjxyqwbj527,3,6.5
pjxyqwbj531,1,3.0
pjxyqwbj532,2,3.5
pjxyqwbj534,2,3.5
pjxyqwbj535,5,12.5
pjxyqwbj540,19,86.5
pjxyqwbj554,2,6.0
pjxyqwbj557,2,6.0
pjxyqwbj570,22,102.0
pjxyqwbj608,1,3.0
pjxyqwbj611,4,9.5
pjxyqwbj616,1,3.0
pjxyqwbj617,1,3.0
pjxyqwbj622,1,3.0
pjxyqwbj625,2,3.5
pjxyqwbj630,1,3.0
pjxyqwbj634,1,5.0
pjxyqwbj642,1,3.0
pjxyqwbj646,2,6.0
pjxyqwbj648,2,8.0
pjxyqwbj651,1,3.0
pjxyqwbj656,2,6.0
pjxyqwbj660,2,8.0
pjxyqwbj662,1,3.0
pjxyqwbj663,1,3.0
pjxyqwbj665,2,8.0
pjxyqwbj669,2,6.0
pjxyqwbj674,4,14.0
pjxyqwbj677,1,3.0
pjxyqwbj685,1,3.0
pjxyqwbj691,1,5.0
pjxyqwbj706,4,16.0
pjxyqwbj713,2,6.0
pjxyqwbj718,1,0.5
pjxyqwbj727,5,14.5
pjxyqwbj739,2,6.0
pjxyqwbj741,1,0.5
pjxyqwbj754,1,5.0
pjxyqwbj755,1,0.5
pjxyqwbj760,6,19.0
pjxyqwbj780,1,3.0
pjxyqwbj787,1,3.0
pjxyqwbj788,1,3.0
pjxyqwbj799,4,11.5
pjxyqwbj802,1,3.0
pjxyqwbj807,4,14.0
pjxyqwbj820,6,18.0
pjxyqwbj828,6,28.0
pjxyqwbj834,1,5.0
pjxyqwbj838,1,3.0
pjxyqwbj841,1,5.0
pjxyqwbj844,1,3.0
pjxyqwbj856,1,3.0
pjxyqwbj859,3,4.0
pjxyqwbj865,2,8.0
pjxyqwbj877,1,3.0
pjxyqwbj885,2,3.5
pjxyqwbj888,3,10.5
pjxyqwbj890,6,15.5
pjxyqwbj897,1,3.0
pjxyqwbj907,3,6.5
pjxyqwbj910,5,16.5
pjxyqwbj912,2,10.0
pjxyqwbj917,3,6.5
pjxyqwbj922,2,6.0
pjxyqwbj923,2,3.5
pjxyqwbj925,2,3.5
pjxyqwbj926,2,3.5
pjxyqwbj929,1,3.0
pjxyqwbj930,3,4.0
pjxyqwbj932,3,6.5
pjxyqwbj936,2,6.0
pjxyqwbj939,2,6.0
pjxyqwbj941,3,11.0
pjxyqwbj944,1,3.0
pjxyqwbj945,1,3.0
pjxyqwbj946,1,0.5
pjxyqwbj947,1,3.0
pjxyqwbj950,1,3.0
pjxyqwbj965,1,3.0
pjxyqwbj966,1,3.0
pjxyqwbj977,3,9.0
pjxyqwbj988,1,3.0
pjxyqwbj998,1,3.0
pjxyqwbk514,4,11.5
pjxyqwbk519,3,4.0
pjxyqwbk529,2,8.0
pjxyqwbk534,8,23.0
pjxyqwbk544,2,6.0
pjxyqwbk562,1,3.0
pjxyqwbk572,1,3.0
pjxyqwbk585,2,8.0
pjxyqwbk594,1,3.0
pjxyqwbk595,3,9.0
pjxyqwbk603,1,3.0
pjxyqwbk608,1,3.0
pjxyqwbk617,2,5.5
pjxyqwbk631,1,0.5
pjxyqwbk653,1,3.0
pjxyqwbk656,1,3.0
pjxyqwbk662,3,13.0
pjxyqwbk664,1,0.5
pjxyqwbk666,1,5.0
pjxyqwbk673,1,5.0
pjxyqwbk706,1,3.0
pjxyqwbk720,1,3.0
pjxyqwbk729,15,63.0
pjxyqwbk740,4,9.5
pjxyqwbk749,4,12.0
pjxyqwbk761,5,14.5
pjxyqwbk764,2,8.0
pjxyqwbk775,1,3.0
pjxyqwbk782,3,11.0
pjxyqwbk787,3,6.5
pjxyqwbk791,5,10.0
pjxyqwbk793,1,3.0
pjxyqwbk795,1,5.0
pjxyqwbk796,1,5.0
pjxyqwbk799,1,3.0
pjxyqwbk808,6,15.5
pjxyqwbk829,2,6.0
pjxyqwbk830,1,3.0
pjxyqwbk834,2,8.0
pjxyqwbk839,1,3.0
pjxyqwbk856,1,0.5
pjxyqwbk868,6,26.0
pjxyqwbk871,1,3.0
pjxyqwbk879,2,8.0
pjxyqwbk884,1,3.0
pjxyqwbk885,2,8.0
pjxyqwbk893,1,0.5
pjxyqwbk899,1,5.0
pjxyqwbk910,3,6.5
pjxyqwbk931,1,0.5
pjxyqwbk955,3,8.5
pjxyqwbk956,19,82.0
pjxyqwbk971,1,5.0
pjxyqxbj001,2,3.5
pjxyqxbj012,3,13.0
pjxyqxbj015,1,3.0
pjxyqxbj023,2,6.0
pjxyqxbj029,1,5.0
pjxyqxbj038,3,6.5
pjxyqxbj039,1,0.5
pjxyqxbj040,1,3.0
pjxyqxbj046,1,3.0
pjxyqxbj048,1,3.0
pjxyqxbj051,2,3.5
pjxyqxbj052,3,6.5
pjxyqxbj058,1,3.0
pjxyqxbj063,1,0.5
pjxyqxbj067,8,28.0
pjxyqxbj074,2,3.5
pjxyqxbj075,1,3.0
pjxyqxbj103,1,0.5
pjxyqxbj106,1,0.5
pjxyqxbj113,2,3.5
pjxyqxbj117,2,3.5
pjxyqxbj120,1,3.0
pjxyqxbj129,3,6.5
pjxyqxbj131,2,3.5
pjxyqxbj145,3,9.0
pjxyqxbj146,3,6.5
pjxyqxbj150,1,3.0
pjxyqxbj151,3,9.0
pjxyqxbj152,1,3.0
pjxyqxbj153,1,0.5
pjxyqxbj154,1,3.0
pjxyqxbj159,5,12.5
pjxyqxbj160,4,13.5
pjxyqxbj164,2,6.0
pjxyqxbj167,4,12.0
pjxyqxbj195,3,9.0
pjxyqxbj198,5,12.5
pjxyqxbj214,2,5.5
pjxyqxbj220,2,3.5
pjxyqxbj223,1,3.0
pjxyqxbj228,1,3.0
pjxyqxbj237,1,3.0
pjxyqxbj238,1,3.0
pjxyqxbj239,1,3.0
pjxyqxbj240,2,6.0
pjxyqxbj241,1,3.0
pjxyqxbj242,7,21.0
pjxyqxbj271,1,3.0
pjxyqxbj277,4,13.5
pjxyqxbj279,2,6.0
pjxyqxbj283,2,8.0
pjxyqxbj285,2,6.0
pjxyqxbj290,2,6.0
pjxyqxbj312,4,7.0
pjxyqxbj325,4,9.5
pjxyqxbj330,1,0.5
pjxyqxbj332,3,6.5
pjxyqxbj333,3,9.0
pjxyqxbj337,1,0.5
pjxyqxbj348,1,0.5
pjxyqxbj352,3,6.5
pjxyqxbj359,4,12.0
pjxyqxbj361,3,9.0
pjxyqxbj365,5,10.0
pjxyqxbj371,4,7.0
pjxyqxbj374,1,3.0
pjxyqxbj391,4,9.5
pjxyqxbj428,2,3.5
pjxyqxbj432,1,3.0
pjxyqxbj440,1,3.0
pjxyqxbj448,1,3.0
pjxyqxbj454,5,10.0
pjxyqxbj455,1,3.0
pjxyqxbj460,1,0.5
pjxyqxbj470,3,11.0
pjxyqxbj474,6,20.0
pjxyqxbj476,1,3.0
pjxyqxbj483,1,3.0
pjxyqxbj484,2,6.0
pjxyqxbj490,4,9.5
pjxyqxbj491,2,6.0
pjxyqxbj512,1,0.5
pjxyqxbj520,2,3.5
pjxyqxbj521,1,3.0
pjxyqxbj522,4,11.5
pjxyqxbj533,1,3.0
pjxyqxbj541,1,3.0
pjxyqxbj544,4,12.0
pjxyqxbj570,1,3.0
pjxyqxbj571,1,3.0
pjxyqxbj577,4,9.5
pjxyqxbj578,1,0.5
pjxyqxbj625,1,3.0
pjxyqxbj648,6,18.0
pjxyqxbj653,2,3.5
pjxyqxbj657,1,3.0
pjxyqxbj662,7,22.5
pjxyqxbj663,1,3.0
pjxyqxbj676,2,6.0
pjxyqxbj679,1,3.0
pjxyqxbj694,10,38.0
pjxyqxbj714,2,5.5
pjxyqxbj717,1,3.0
pjxyqxbj724,3,4.0
pjxyqxbj728,1,0.5
pjxyqxbj733,2,6.0
pjxyqxbj734,1,0.5
pjxyqxbj750,1,3.0
pjxyqxbj770,2,8.0
pjxyqxbj800,3,9.0
pjxyqxbj813,1,3.0
pjxyqxbj817,1,3.0
pjxyqxbj841,5,12.5
pjxyqxbj846,1,3.0
pjxyqxbj848,2,6.0
pjxyqxbj851,5,14.5
pjxyqxbj854,2,6.0
pjxyqxbj858,4,9.5
pjxyqxbj861,4,7.0
pjxyqxbj864,3,8.5
pjxyqxbj866,5,14.5
pjxyqxbj867,5,10.0
pjxyqxbj868,1,3.0
pjxyqxbj869,1,5.0
pjxyqxbj872,2,3.5
pjxyqxbj884,3,6.5
pjxyqxbj888,1,3.0
pjxyqxbj893,3,6.5
pjxyqxbj895,2,6.0
pjxyqxbj896,1,3.0
pjxyqxbj897,2,3.5
pjxyqxbj903,2,6.0
pjxyqxbj907,2,3.5
pjxyqxbj914,1,3.0
pjxyqxbj919,2,6.0
pjxyqxbj922,1,3.0
pjxyqxbj927,2,3.5
pjxyqxbj935,1,3.0
pjxyqxbj948,1,0.5
pjxyqxbj952,1,3.0
pjxyqxbj955,1,3.0
pjxyqxbj973,2,3.5
pjxyqxbj978,1,3.0
pjxyqxbj981,1,3.0
pjxyqxbj985,1,3.0
pjxyqxbk019,1,3.0
pjxyqxbk024,2,3.5
pjxyqxbk046,1,5.0
pjxyqxbk052,7,16.0
pjxyqxbk070,5,14.5
pjxyqxbk076,1,0.5
pjxyqxbk090,3,6.5
pjxyqxbk095,1,0.5
pjxyqxbk137,1,3.0
pjxyqxbk147,2,3.5
pjxyqxbk159,9,22.0
pjxyqxbk162,1,3.0
pjxyqxbk165,1,0.5
pjxyqxbk180,5,17.0
pjxyqxbk182,1,3.0
pjxyqxbk183,2,6.0
pjxyqxbk199,6,19.5
pjxyqxbk211,1,3.0
pjxyqxbk218,2,6.0
pjxyqxbk236,1,0.5
pjxyqxbk242,3,6.5
pjxyqxbk243,2,3.5
pjxyqxbk263,2,3.5
pjxyqxbk264,2,3.5
pjxyqxbk281,2,3.5
pjxyqxbk286,2,6.0
pjxyqxbk305,2,6.0
pjxyqxbk307,2,6.0
pjxyqxbk319,2,3.5
pjxyqxbk325,3,4.0
pjxyqxbk328,1,3.0
pjxyqxbk335,3,6.5
pjxyqxbk336,1,3.0
pjxyqxbk339,2,3.5
pjxyqxbk342,1,5.0
pjxyqxbk358,1,3.0
pjxyqxbk368,2,3.5
pjxyqxbk375,1,3.0
pjxyqxbk382,7,21.0
pjxyqxbk398,3,6.5
pjxyqxbk402,2,6.0
pjxyqxbk415,4,9.5
pjxyqxbk428,1,0.5
pjxyqxbk429,3,9.0
pjxyqxbk444,1,3.0
pjxyqxbk445,2,3.5
pjxyqxbk452,1,0.5
pjxyqxbk474,7,21.0
pjxyqxbk479,1,3.0
pjxyqxbk481,2,3.5
pjxyqxbk484,3,6.5
pjxyqxbk501,2,6.0
pjxyqxbk503,3,9.0
pjxyqxbk505,1,3.0
pjxyqxbk513,1,3.0
pjxyqxbk516,5,17.0
pjxyqxbk521,2,6.0
pjxyqxbk527,1,3.0
pjxyqxbk528,4,12.0
pjxyqxbk531,6,20.0
pjxyqxbk533,1,3.0
pjxyqxbk534,1,0.5
pjxyqxbk543,1,3.0
pjxyqxbk547,1,3.0
pjxyqxbk551,1,3.0
pjxyqxbk553,3,9.0
pjxyqxbk562,1,3.0
pjxyqxbk578,3,6.5
pjxyqxbk581,4,14.0
pjxyqxbk590,3,8.5
pjxyqxbk603,2,6.0
pjxyqxbk604,1,0.5
pjxyqxbk610,1,3.0
pjxyqxbk615,2,6.0
pjxyqxbk625,1,3.0
pjxyqxbk629,4,9.5
pjxyqxbk633,6,13.0
pjxyqxbk642,2,3.5
pjxyqxbk649,2,3.5
pjxyqxbk655,1,3.0
pjxyqxbk665,1,3.0
pjxyqxbk674,3,4.0
pjxyqxbk676,2,6.0
pjxyqxbk677,1,0.5
pjxyqxbk680,5,12.5
pjxyqxbk681,1,3.0
pjxyqxbk682,3,9.0
pjxyqxbk683,1,3.0
pjxyqxbk686,1,3.0
pjxyqxbk710,3,9.0
pjxyqxbk715,2,6.0
pjxyqxbk731,1,3.0
pjxyqxbk791,2,6.0
pjxyqxbk794,1,3.0
pjxyqxbk795,1,3.0
pjxyqxbk797,2,6.0
pjxyqxbk798,1,0.5
pjxyqxbk799,3,6.5
pjxyqxbk803,2,6.0
pjxyqxbk816,2,3.5
pjxyqxbk820,4,9.0
pjxyqxbk825,1,3.0
pjxyqxbk827,1,0.5
pjxyqxbk836,1,0.5
pjxyqxbk841,2,6.0
pjxyqxbk844,1,3.0
pjxyqxbk846,4,16.0
pjxyqxbk848,1,3.0
pjxyqxbk852,2,3.5
pjxyqxbk863,1,3.0
pjxyqxbk865,2,1.0
pjxyqxbk867,1,3.0
pjxyqxbk869,1,3.0
pjxyqxbk880,10,38.0
pjxyqxbk902,1,3.0
pjxyqxbk905,1,0.5
pjxyqxbk907,2,6.0
pjxyqxbk908,3,6.5
pjxyqxbk911,1,3.0
pjxyqxbk929,3,6.5
pjxyqxbk935,2,3.5
pjxyqxbk936,5,10.0
pjxyqxbk941,4,12.0
pjxyqxbk947,4,12.0
pjxyqxbk950,5,14.5
pjxyqxbk951,2,6.0
pjxyqxbk954,1,3.0
pjxyqxbk957,3,6.5
pjxyqxbk961,3,4.0
pjxyqxbk965,2,3.5
pjxyqxbk980,4,7.0
pjxyqxbk991,4,9.5
pjxyqxbl687,4,9.5
pjxyqxbl704,2,6.0
pjxyqxbl717,5,10.0
pjxyqxbl724,1,3.0
pjxyqxbl730,3,6.5
pjxyqxbl735,11,41.0
pjxyqxbl737,1,0.5
pjxyqxbl743,3,4.0
pjxyqxbl750,1,3.0
pjxyqxbl751,3,6.5
pjxyqxbl753,1,0.5
pjxyqxbl763,5,15.0
pjxyqxbl766,5,10.0
pjxyqxbl780,1,0.5
pjxyqxbl793,1,3.0
pjxyqxbl797,1,3.0
pjxyqxbl808,3,6.5
pjxyqxbl830,5,12.5
pjxyqxbl866,3,6.5
pjxyqxbl876,1,0.5
pjxyqxbl893,1,0.5
pjxyqxbl927,1,3.0
pjxyqxbl929,11,41.0
pjxyqxbl939,3,4.0
pjxyqxbl950,1,3.0
pjxyqxbl954,7,21.0
pjxyqxbl962,1,3.0
